Düsseldorf, 755503.587657650583424,6660722.645564816892147,0
Hannover, 1084332.6974320926, 6868449.823763761,0
München, 1288422.548809718573466,6128415.180217064917088,0
Mainz, 919078.828553194878623,6445781.721309688873589,0
Wiesbaden, 917855.835891907918267,6457553.022923014126718,0
Saarbrücken, 780269.184317631181329,6310641.055965343490243,0
Berlin, 1494496.777170915622264,6894008.454377569258213,0
Potsdam, 1454330.47071052249521,6871055.756434500217438,0
Kiel, 1126861.067483870312572,7231623.383276574313641,0
Schwerin, 1269181.333274861332029,7101424.78437016159296,0
Erfurt, 1227840.613978963345289,6618599.782761462032795,0
Dresden, 1529225.021865736460313,6630215.304326864890754,0
Magdeburg, 1294381.14941979967989,6821948.831223481334746,0
Bremen, 979800.060802364139818,6997679.061724822968245,0
Stuttgart, 1022108.714202658971772,6236840.103617873042822,0
Hamburg, 1112491.569126005750149,7085591.387825464829803,0